gaTrackerData.jobId,icon,name,highlightPhrase
3458674386,vacation,Vacation & Paid Time Off,Similar to other companies and get's better the longer you work here. 
3464279069,food,Free Lunch or Snacks,"They have wonderful coffee, and gluten free snacks"
3464279069,discount,Employee Discount,"Employee discounts on many things including mortgage rates! There are employee discounts for many stores, restaurants, and brands as well. "
3464279069,health,Health Insurance,The health benefits are very good. Ive never had to pay out of pocket for anything
3186464688,food,Free Lunch or Snacks,super healthy and organic snacks
3458622990,health,Health Insurance,Very good - BCBS PPO so the coverage is excellent. Even STD is offered and it helps with unplanned health issues. 
3458622990,retirement,401K Plan,They match up to a certain percentage which is common with most companies 
3458622990,vacation,Vacation & Paid Time Off,Amazing vacation package given right of the back to the employee 
3429138021,health,Health Insurance,Great overall package that gave my family coverage.
3422245895,health,Health Insurance,low cost and high value.
3422245895,retirement,401K Plan,401K is matched. Nothing to complain about.
3422245895,vacation,Vacation & Paid Time Off,unlimited for full time employees
3415362261,health,Health Insurance,Switched to Anthem and it's much worse than before. 
3445593461,retirement,401K Plan,1% +4% for company core contribution and match contribution
3445593461,health,Health Insurance,Offer HSA and company contribution
3445593461,vacation,Vacation & Paid Time Off,If your PTO is not used within the year you can carry it over into the next year.
3397070704,vacation,Vacation & Paid Time Off,"Good paid vacation time, if you can take it..."
3397070704,health,Health Insurance,Several options to choose from including HSA.
3397070704,retirement,401K Plan,"excellent matching, more options will be slightly better"
2648481930,health,Health Insurance,The Health Insurance plan is amazing. It is very affordable and there is a package for every level of need. 
2648481930,retirement,401K Plan,Good investment options and contributions vested from day 1.
2648481930,wfh,Work From Home,working remote is a big part of culture
3452013159,health,Health Insurance,The benefit is worse than before
3452013159,retirement,401K Plan,Nothing for part timers!  Poor for part time employees.
3452013159,vacation,Vacation & Paid Time Off,The PDO is 8% of the working hours
3435075005,health,Health Insurance,"they dont train their employees 1 on 1, they do it via webex, for only 2 weeks, and than throw you to the wolves"
3435075005,retirement,401K Plan,I like that they match up to 4% I think.
3435075005,vacation,Vacation & Paid Time Off,I like that we are able to purchase an additional week of PTO - paid time off.
3456882110,health,Health Insurance,Comprehensive health insurance coverage for employee.
3456882110,retirement,401K Plan,Pretty standard match. 50% up to your first 6% match.
3456882110,vacation,Vacation & Paid Time Off,"Tons of time off.  15 vacation, 8 sick and 3 floaters per year. They also load it all at the new year, so you don't have to accrue time off!!"
3444626652,health,Health Insurance,Great health insurance through United Healthcare
3444626652,retirement,401K Plan,matching  401k and solid fidelity program 
3444626652,vacation,Vacation & Paid Time Off,"It is by no means unlimited.  It is at the discretion of the manager, some managers, barley approve time off.  I used to get 3 weeks, now if I take more than 2 she give me a hard time about it, or it is like pulling teeth to get days approved.  Some people do not have a work-life balance, and therefore hold it against people that take time off."
3413181705,retirement,401K Plan,"Lowest matching rate I've heard of at any company. Only matches up to 1.5%, it's almost worthless. "
3457862378,health,Health Insurance,"Good health insurance at a low price. They do try to encourage a preventative plan, which makes it difficult to afford acquire care."
3391819541,health,Health Insurance,Like most companies expect a high deductible plan unless you want to pay a very significant amount each pay period health coverage.
3391819541,retirement,401K Plan,Save and they match up to a percentage. Can't ask for more than that.
3391819541,vacation,Vacation & Paid Time Off,Good time off and vacation accrual.
3444720351,health,Health Insurance,"Best coverage, co-pay and options - see my other comments this is the best"
3444720351,vacation,Vacation & Paid Time Off,Vacation cannot be roll over to following year if you don’t use it all within that year
3444720351,retirement,401K Plan,No matching at all! No thanks
3397750777,retirement,401K Plan,The company stopped matching. 
3397750777,discount,Employee Discount,"If you are a female with no large males to buy for, its completely useless"
3397750777,sickDays,Sick Days,Not so bad. It’s just the process of having it submitted correctly. 
3467484062,retirement,401K Plan,5% match and 2% company contribution on top of that. 
3467484062,vacation,Vacation & Paid Time Off,You can purchase a extra week of vacation and you’re given 3 personal days and paid sick time 
3467484062,health,Health Insurance,Good health insurance plans available
3437897188,health,Health Insurance,It's what you expect and then some!
3449618883,health,Health Insurance,"good insurance , multiple providers avaiabe"
3449618883,vacation,Vacation & Paid Time Off,12.5 holiday hours. 3 weeks of PTO once you're hired. 
3449618883,retirement,401K Plan,Company match up to 6%
3399811808,health,Health Insurance,Very good health insurance keeps you healthy
3399811808,vacation,Vacation & Paid Time Off,Nice vacation time off is good
3451289150,retirement,401K Plan,"good matching, pretty standard to most other similar companies of size, overall good"
3451289150,health,Health Insurance,"lots of different packages, good coverage for the whole family, vision, health, dental, easy to review and select"
3451289150,vacation,Vacation & Paid Time Off,"comprehensive, high number of days, maternity/paternity leave, bereavement, more than other companies (other large pharma)"
3437270451,health,Health Insurance,100% coverage for mental health (in or out of network).  Local healthcare insurance company is not widely accepted as a norm which limits doctor options.
3437270451,food,Free Lunch or Snacks,It's gourmet.  A great mixture of healthy and sweet options.  Lunches are very high quality with a good variety.
3437270451,retirement,401K Plan,Generous matching program as well as bringing in experts to help employees to plan for their retirement.
3356156067,health,Health Insurance,Benefits are great and in line with other businesses 
3364106875,health,Health Insurance,It is an average plan for the tech sector
3364106875,retirement,401K Plan,good investment options.  Average employer match
3364106875,vacation,Vacation & Paid Time Off,Although it takes a few years to build up the PTO there is VTO that allows contribution back to the community.
3462828164,health,Health Insurance,I like having a PPO Plan  for my dependents
3462828164,vacation,Vacation & Paid Time Off,"You get a good amount of vacation time but you don't have any time to use it. For example, I started off with 2 weeks vacation but you can't take more than 1 week of it at a time because people book their vacation time a year in advance. If you don't have seniority you basically can't take a vacation."
3462828164,retirement,401K Plan,"Core contribution, plus matching, in house 401k advisor"
3375674297,retirement,401K Plan,6% match and immediate vesting
3375674297,health,Health Insurance,Overall good health insurance benefits almost all medical expenses covered.  Varied range of deductible plans based on your premium expense copays have gone up over the last 5 years but still manageable.
3375674297,matPatLeave,Maternity & Paternity Leave,It could be a bit more competitive with other companies like Novartis
3455756782,wfh,Work From Home,Remote work availability depends on position and  projects. 
3455756782,health,Health Insurance,Offer both HDHP and PPO plan and additional supplemental options. 
3455756782,retirement,401K Plan,"Match is pretty typical, however, immediate vesting . "
3394150419,health,Health Insurance,high deductable and copay. Company contributes $600 to HSA account for single.  
3394150419,retirement,401K Plan,good. up to 5% matches
3394150419,vacation,Vacation & Paid Time Off,Generous time off benefits allowed
3291624826,health,Health Insurance,Insurance is a little expensive 
3291624826,vacation,Vacation & Paid Time Off,It is on accural hours
3291624826,retirement,401K Plan,The best is the percentage they offer. It takes a while for them to get it started
3399467888,vacation,Vacation & Paid Time Off,Health benefits are non competitive for the area. 
3399467888,health,Health Insurance,average cost. don't cover much deductables
3399467888,retirement,401K Plan,I think the benifits offered are par with most of the other tech companies. this is in my opinion pretty decent
3255906223,health,Health Insurance,"decently priced, good options available"
3255906223,vacation,Vacation & Paid Time Off,very generous allotment of time off
3255906223,retirement,401K Plan,"standard match of 5%, good options "
3258418289,retirement,401K Plan,401K Plan is good. Healthcare insurance is said to have the min copay
