gaTrackerData.jobId,jobTitle,payPeriod,payPercentile50,payPercentile10,payPercentile90
3458674386,Software Engineer,ANNUAL,95860.9,63448.59,120872.94
3458674386,QA Tester,HOURLY,14.03,13.21,16.19
3458674386,Customer Service Representative,HOURLY,15.96,13.85,19.38
3458674386,Associate Producer,ANNUAL,51944.27,48741.68,64739.6
3458674386,Director,ANNUAL,119729.16,111868.66,150542.89
3456806508,Customer Service Representative,HOURLY,,14.84,16.03
3456806508,Software Developer,ANNUAL,,63864.99,70130.82
3456806508,IT Manager,ANNUAL,,76922.19,83721.58
3456806508,Claims Adjuster,HOURLY,,20.14,21.97
3456806508,Accounts Payable Specialist,HOURLY,,15.32,16.59
3372777516,"Physician, Hospitalist",ANNUAL,203630.83,203346.09,242715.14
3372777516,Physical Therapist,HOURLY,42.79,42.71,42.79
3372777516,Occupational Therapist,ANNUAL,72749.1,72749.1,72749.1
3372777516,Registered Nurse,ANNUAL,,31.72,69385.51
3372777516,Registered Nurse,HOURLY,,30.72,35.78
3464279069,Data Scientist,ANNUAL,100466.66,73500.0,129428.62
3464279069,Data Scientist,HOURLY,19.99,19.02,20.23
3464279069,Senior Data Scientist,ANNUAL,,92716.28,100801.95
3464279069,Mortgage Banker,ANNUAL,26278.46,21612.61,39166.22
3464279069,Intern,HOURLY,12.11,11.73,14.68
3450540788,Customer Service Representative,ANNUAL,,39109.94,42191.77
3450540788,Account Manager,ANNUAL,,67015.44,72248.94
3450540788,Director,ANNUAL,,75013.84,81735.98
3450540788,Customer Service,ANNUAL,,38634.92,41218.9
3450540788,Programmer,ANNUAL,,73856.33,80403.1
3458622990,Pipeline Technician,HOURLY,36.1,29.43,45.32
3458622990,Senior Accountant,ANNUAL,84771.14,72815.52,94763.38
3458622990,Pipeline Operator,HOURLY,33.09,31.21,42.02
3458622990,Project Manager,ANNUAL,128222.11,99263.5,149070.69
3458622990,Engineering,ANNUAL,85430.55,77045.47,93117.79
3429138021,SQL/Oracle Database Administrator,ANNUAL,,84919.96,90895.86
3429138021,Senior Oracle Database Administrator,ANNUAL,,174251.52,190797.92
3429138021,Senior Java Developer,ANNUAL,99912.0,97460.78,124755.55
3429138021,Recruiter,ANNUAL,38881.52,34166.38,49541.58
3429138021,Senior Software Developer,ANNUAL,125209.35,102389.38,143787.22
3362938926,Senior Consultant,HOURLY,,44.15,48.58
3362938926,Technical Recruiter,ANNUAL,,63237.37,69347.97
3362938926,QA Engineer,HOURLY,,30.14,32.65
3362938926,Quality Assurance Engineer,ANNUAL,,81867.18,88485.23
3362938926,Washington,ANNUAL,,89128.23,96931.59
3422245895,Devops Engineer,ANNUAL,,96617.45,104462.02
3422245895,Account Executive,ANNUAL,77421.9,52626.05,94711.65
3422245895,Software Engineer,ANNUAL,97178.0,64458.7,110004.13
3422245895,Account Manager,ANNUAL,64965.16,58908.6,89528.22
3422245895,Senior Software Engineer,ANNUAL,118232.79,97277.6,161574.95
3327512131,Assistant Scientist,ANNUAL,,71115.63,77549.26
3327512131,Executive Assistant,HOURLY,,29.75,32.57
3327512131,Associate Director,ANNUAL,,159950.11,172644.14
3327512131,Attorney,ANNUAL,,175919.23,191167.33
3327512131,Senior Clinical Research Associate,ANNUAL,,121508.64,129841.6
3415362261,Sales Manager,ANNUAL,64634.34,58571.02,76645.52
3415362261,Process Engineer,ANNUAL,71571.88,61691.31,82104.7
3415362261,Dock Worker,ANNUAL,40556.0,35912.93,46382.65
3415362261,Driver,ANNUAL,36410.09,34167.64,37636.21
3415362261,Pricing Analyst,ANNUAL,59144.32,57327.89,60259.39
3445593461,Customer Service Representative,HOURLY,14.56,12.18,16.45
3445593461,Customer Resolution Specialist,HOURLY,14.07,12.86,14.38
3445593461,Collector,HOURLY,11.96,10.55,14.15
3445593461,Director,ANNUAL,113838.47,91659.38,144591.41
3445593461,Collections Specialist,HOURLY,14.33,13.64,15.87
3397070704,Software Systems Architect,ANNUAL,,154790.15,166196.14
3397070704,Systems Architect & Engineer-IP Systems Hardware,ANNUAL,,115303.7,125265.22
3397070704,Component Architect/Systems Manager,ANNUAL,,186029.6,201884.37
3397070704,Software Service Engineer,ANNUAL,85483.8,70019.5,114328.38
3397070704,Software Engineer,ANNUAL,119260.74,88609.9,158028.28
3423647287,Operations Manager,ANNUAL,,79058.79,87433.26
3423647287,Business Analyst,ANNUAL,,63063.92,68292.28
3423647287,Sales Manager,ANNUAL,,102940.42,112596.35
3423647287,Operations,ANNUAL,,149802.92,162287.81
3423647287,Management,ANNUAL,,174706.06,187182.21
2648481930,Sales,ANNUAL,71696.98,59158.03,139113.55
2648481930,Software Engineer,ANNUAL,,116717.3,159797.02
2648481930,Senior Software Engineer,ANNUAL,,133318.37,143930.5
2648481930,Director,ANNUAL,,128659.53,141608.47
2648481930,Software Developer,ANNUAL,,95917.28,104527.0
3437587011,Test Technician,HOURLY,,14.65,21.69
3437587011,Process Engineer,ANNUAL,,88683.22,95750.95
3437587011,Technician,HOURLY,,19.71,21.03
3437587011,Quality Engineer,ANNUAL,,78786.51,84972.71
3437587011,Inside Sales,ANNUAL,,53733.94,57809.93
3452013159,"Registered Nurse, Critical Care",HOURLY,25.16,24.1,25.68
3452013159,"Critical Care Nurse, Bsn",HOURLY,25.01,24.97,25.07
3452013159,Registered Nurse,HOURLY,29.63,25.64,36.13
3452013159,Medical Technologist,HOURLY,25.42,21.39,27.04
3452013159,Physical Therapist,HOURLY,30.29,29.04,45.02
3435075005,Customer Service Representative,HOURLY,15.1,11.15,17.27
3435075005,Senior Business Analyst,ANNUAL,79466.22,67987.83,95534.44
3435075005,Business Analyst,ANNUAL,64731.92,48673.97,89672.18
3435075005,Clinical Administrative Coordinator,HOURLY,17.4,15.88,19.61
3435075005,Director,ANNUAL,142524.09,119141.72,171019.08
3456882110,Intern - Hourly,HOURLY,23.46,20.4,29.13
3456882110,Intern,HOURLY,23.89,21.23,29.69
3456882110,Manager,ANNUAL,128744.88,122038.55,151252.72
3456882110,Market Engineer,ANNUAL,92457.18,76726.45,120061.22
3456882110,Engineer,ANNUAL,90179.63,70189.8,120434.31
3450778703,Java Developer,HOURLY,53.29,50.43,62.93
3450778703,Quality Assurance Analyst,HOURLY,,47.37,51.26
3450778703,Programmer Analyst,HOURLY,,43.49,47.2
3450778703,Project Manager,HOURLY,,62.4,67.14
3450778703,Project Manager,ANNUAL,,91515.07,98471.1
3335562077,Sales,ANNUAL,,53624.28,57644.63
3335562077,Senior Project Manager,ANNUAL,,117964.33,128471.62
3335562077,Assistant Project Manager,ANNUAL,,69503.37,76067.27
3335562077,Assistant Buyer,ANNUAL,,46464.06,50084.28
3335562077,Anonymous,ANNUAL,,57680.4,61886.4
3460535115,Marketing,MONTHLY,,505.65,547.08
3460535115,Lead Software Engineer,ANNUAL,,77364.11,83683.12
3444626652,Sales Executive,ANNUAL,99915.68,84481.51,127915.54
3444626652,Software Engineer,ANNUAL,97599.68,80941.11,116060.95
3444626652,Applications Consultant,ANNUAL,57475.52,50878.23,96413.74
3444626652,Senior Sales Executive,ANNUAL,110883.47,96897.84,135466.13
3444626652,Project Manager,ANNUAL,58411.04,51028.11,113400.06
3413181705,Intern,HOURLY,11.08,10.68,15.29
3413181705,Operations Manager,ANNUAL,54872.8,42009.49,61713.71
3413181705,Data Analyst,ANNUAL,60102.44,50676.77,76241.2
3413181705,Software Engineer,ANNUAL,75406.73,67791.3,76664.77
