"jobid","education","programming languages","databases","platforms","misc tools","web frameworks","environments","workflow management","testing software","visualization software"
327694946,Masters,c c++ javascript java matlab,,,machine_learning,,,,,
1147804379,unknown,,sql,,etl,,,,,
1328892974,unknown,html,,,,,,,,
1386935664,unknown,php css html,,,,,,,selenium,
1447872584,Bachelors,go puppet,mongodb,azure gcp linux aws,chef,,,,,
1493072274,Bachelors,c++ matlab javascript,,,,,,,,
1518255281,unknown,javascript java scala,oracle sql mongodb cassandra redis postgresql,,hadoop,spring jquery,,,,
1549023652,unknown,,mysql oracle mongodb sql cassandra dynamodb couchbase microsoft_sql_server postgresql,ibm azure aws,bi etl,,,,,looker qlik sisense tableau
1597228144,unknown,,oracle sql,,bi,,,,,
1870108870,unknown,assembly python,,,machine_learning,,,,,
1677540726,Bachelors,,oracle sql,,,,,,,
1733256867,Bachelors,r,,,,,,,,
1744589339,unknown,processing c c++ python,sql,ios android,,,,,,
1811799248,Bachelors,,sql,,,,,,,
1818088399,unknown,ruby php c javascript java typescript,,azure aws,react,,,,,
1818332852,unknown,python puppet,,linux google_cloud kubernetes,chef ansible,,,,jenkins,
1833005079,unknown,,sql,,bi,express,,,,
1869399186,unknown,,sql,,,,,,,
1878723881,Bachelors,c c++ java matlab python,,linux windows,,,,,,
1880360374,unknown,processing,,,,,,,,
1893173549,unknown,,,,,express,,,,
1906098675,Bachelors,,sql,,,,,,,
2242752674,unknown,,mongodb,,,,,,,
2261608820,unknown,go puppet,,linux docker aws,ansible,,,,,
1911740659,unknown,go,,,,,,,,
1915046372,Bachelors,c c++ javascript java typescript python,,docker,,,,jira,jenkins selenium,
1916308429,Bachelors,c processing,,,,,,,,
1924565215,unknown,css javascript java html,,,,angular,,,,
1924565427,unknown,ruby puppet perl python,mysql sql mongodb oracle cassandra,aws,chef,,,,,
1943716375,Bachelors,c d,,,,,,,,
1947688381,unknown,text scala typescript python,redis,aws docker kubernetes,react,express,,,,
1949745750,unknown,asp d,,,,,,,,
1954690400,unknown,go d processing c++ javascript java assembly groovy typescript python,cassandra elasticsearch,aws,react hadoop spark,,,,,leaflet
1959793152,Masters,c++,,,,,,,,
2261696610,unknown,ml r scala python,sql,,pandas spark machine_learning,,,,,
2494394491,Bachelors,css processing javascript,redis elasticsearch postgresql,,,jquery ruby_on_rails,,,,
1961699896,unknown,css javascript java shell python,sql,linux,machine_learning,django spring jquery,,,,
1967431776,unknown,go,,,,,,,,
1969585865,unknown,go puppet c shell python,postgresql,linux,,,,,,
2320154467,Bachelors,css c javascript html asp,sql,,,jquery angular,,,,
2329069834,Bachelors,java processing,,,,spring,,,,
1975296760,unknown,r d,,,,,,,,
1980117963,unknown,,sql,,,,,,,
1983343201,unknown,php c c++ java html asp,mysql oracle,linux windows,,,,,,
1983343204,unknown,,sql oracle,linux windows,,,,,,
1983645667,unknown,go ruby processing javascript,,,spark,,,,,
1995365936,Masters,,sql,,,,,jira,,
1997504920,unknown,c c++ java,,,,,,,,
2010454579,unknown,css javascript html python,mysql mongodb redis postgresql,,react,flask django angular,,,,
2011142185,unknown,rich,,kubernetes,react,,,,,
2331838204,unknown,java,redis,linux windows,hadoop,spring,intellij,jira,,
2338941610,unknown,css javascript python,mongodb,aws,hadoop,jquery,,,,
